grid_id,TIME,depth,latitude,longitude,avg_temperature,avg_salinity
-1.0_65.0,4/28/2021,500,-1,65,9.923000336,35.01294052
-1.0_65.0,4/28/2021,1000,-1,65,6.906880078,34.97088074
-1.0_65.0,4/28/2021,2000,-1,65,,
-1.0_65.0,5/18/2021,10,-1,65,29.63993942,35.16400146
-1.0_65.0,5/18/2021,100,-1,65,22.11906028,35.33746083
-1.0_65.0,5/18/2021,200,-1,65,14.53773983,35.16123939
-1.0_65.0,5/18/2021,500,-1,65,9.830539891,35.00500107
-1.0_65.0,5/18/2021,1000,-1,65,6.915659944,34.96111869
-1.0_65.0,5/18/2021,2000,-1,65,2.674260041,34.77299881
-1.0_65.0,5/28/2021,10,-1,65,29.46207993,35.36899948
-1.0_65.0,5/28/2021,100,-1,65,24.63109229,35.35932454
-1.0_65.0,5/28/2021,200,-1,65,14.03176016,35.14300156
-1.0_65.0,5/28/2021,500,-1,65,9.890240286,34.97804061
-1.0_65.0,5/28/2021,1000,-1,65,6.937809684,34.96588536
-1.0_65.0,5/28/2021,2000,-1,65,,
-1.0_67.0,1/28/2021,10,-1,67,28.61804003,35.24266121
-1.0_67.0,1/28/2021,100,-1,67,22.19612918,35.26108862
-1.0_67.0,1/28/2021,200,-1,67,13.93517032,35.15192787
-1.0_67.0,1/28/2021,500,-1,67,9.966009617,35.00232958
-1.0_67.0,1/28/2021,1000,-1,67,6.489009855,34.94325939
-1.0_67.0,1/28/2021,2000,-1,67,2.860004901,34.78213064
-1.0_67.0,2/18/2021,10,-1,67,28.87047083,35.0971765
-1.0_67.0,2/18/2021,100,-1,67,21.57774552,35.24804029
-1.0_67.0,2/18/2021,200,-1,67,13.68823488,35.14396181
-1.0_67.0,2/18/2021,500,-1,67,10.16507709,35.01701759
-1.0_67.0,2/18/2021,1000,-1,67,6.780117871,34.97600174
-1.0_67.0,2/18/2021,2000,-1,67,,
-1.0_67.0,4/18/2021,10,-1,67,29.98349929,34.96837664
-1.0_67.0,4/18/2021,100,-1,67,23.40766732,35.35522186
-1.0_67.0,4/18/2021,200,-1,67,14.85999966,35.16600037
-1.0_67.0,4/18/2021,500,-1,67,9.883000374,35.00500107
-1.0_67.0,4/18/2021,1000,-1,67,6.782000065,34.95899963
-1.0_67.0,4/18/2021,2000,-1,67,,
-1.0_69.0,4/28/2021,10,-1,69,30.47610483,34.91062363
-1.0_69.0,4/28/2021,100,-1,69,22.75606553,35.36545384
-1.0_69.0,4/28/2021,200,-1,69,14.95053951,35.19015574
-1.0_69.0,4/28/2021,500,-1,69,10.06301474,35.00822503
-1.0_69.0,4/28/2021,1000,-1,69,6.964055277,34.96733045
-1.0_69.0,4/28/2021,2000,-1,69,,
-1.0_69.0,5/18/2021,10,-1,69,30.10102982,34.97519566
-1.0_69.0,5/18/2021,100,-1,69,26.67680988,35.42840511
-1.0_69.0,5/18/2021,200,-1,69,13.7361601,35.1413644
-1.0_69.0,5/18/2021,500,-1,69,9.915079521,35.01736012
-1.0_69.0,5/18/2021,1000,-1,69,7.0488798,34.97289761
-1.0_69.0,5/18/2021,2000,-1,69,,
-1.0_69.0,10/10/2021,10,-1,69,29.46859061,34.8303872
-1.0_69.0,10/10/2021,100,-1,69,17.43762069,35.19653502
-1.0_69.0,10/10/2021,200,-1,69,14.37699994,35.17207571
-1.0_69.0,10/10/2021,500,-1,69,9.806386617,34.99482689
-1.0_69.0,10/10/2021,1000,-1,69,6.569652129,34.94831147
-1.0_69.0,10/10/2021,2000,-1,69,,
-1.0_73.0,9/10/2021,10,-1,73,29.76647875,34.72347757
-1.0_73.0,9/10/2021,100,-1,73,19.19149971,35.20800018
-1.0_73.0,9/10/2021,200,-1,73,13.44003795,35.13066108
-1.0_73.0,9/10/2021,500,-1,73,9.910878764,34.95398758
-1.0_73.0,9/10/2021,1000,-1,73,6.192540219,34.83560425
-1.0_73.0,9/10/2021,2000,-1,73,,
-1.0_75.0,1/1/2021,10,-1,75,28.31035495,35.04092712
-1.0_75.0,1/1/2021,100,-1,75,26.44541927,35.25875785
-1.0_75.0,1/1/2021,200,-1,75,12.9621399,35.08035292
-1.0_75.0,1/1/2021,500,-1,75,10.14106508,34.98774487
-1.0_75.0,1/1/2021,1000,-1,75,6.598100293,34.91444818
-1.0_75.0,1/1/2021,2000,-1,75,,
-1.0_75.0,2/10/2021,10,-1,75,29.07256051,34.91602844
-1.0_75.0,2/10/2021,100,-1,75,27.42081956,35.17634555
-1.0_75.0,2/10/2021,200,-1,75,15.39818019,35.13318743
-1.0_75.0,2/10/2021,500,-1,75,9.227199883,34.87873924
-1.0_75.0,2/10/2021,1000,-1,75,6.639519921,34.91413963
-1.0_75.0,2/10/2021,2000,-1,75,,
-1.0_75.0,9/1/2021,10,-1,75,29.32323792,34.76547532
-1.0_75.0,9/1/2021,100,-1,75,20.89310548,35.23322193
-1.0_75.0,9/1/2021,200,-1,75,14.0890588,35.15564548
-1.0_75.0,9/1/2021,500,-1,75,9.98044557,34.98999077
-1.0_75.0,9/1/2021,1000,-1,75,6.381679846,34.92770487
-1.0_75.0,9/1/2021,2000,-1,75,,
-1.0_77.0,1/10/2021,10,-1,77,28.85252621,35.15605344
-1.0_77.0,1/10/2021,100,-1,77,27.65616927,35.26940528
-1.0_77.0,1/10/2021,200,-1,77,13.48072206,35.10827933
-1.0_77.0,1/10/2021,500,-1,77,9.976185396,34.9084337
-1.0_77.0,1/10/2021,1000,-1,77,6.618010747,34.90395097
-1.0_77.0,1/10/2021,2000,-1,77,,
-1.0_77.0,6/18/2021,10,-1,77,29.62933367,34.63164461
-1.0_77.0,6/18/2021,100,-1,77,19.46542198,35.21321925
-1.0_77.0,6/18/2021,200,-1,77,13.00099994,35.1004602
-1.0_77.0,6/18/2021,500,-1,77,9.970999718,34.98600006
-1.0_77.0,6/18/2021,1000,-1,77,6.99938512,34.95165227
-1.0_77.0,6/18/2021,2000,-1,77,,
-1.0_77.0,6/28/2021,10,-1,77,29.76399942,34.90218076
-1.0_77.0,6/28/2021,100,-1,77,22.76174654,35.12712068
-1.0_77.0,6/28/2021,200,-1,77,12.82609389,35.0908676
-1.0_77.0,6/28/2021,500,-1,77,10.18322796,34.99386086
-1.0_77.0,6/28/2021,1000,-1,77,6.716384849,34.92023059
-1.0_77.0,6/28/2021,2000,-1,77,,
-1.0_77.0,7/18/2021,10,-1,77,29.25776929,34.64965299
-1.0_77.0,7/18/2021,100,-1,77,22.1827141,35.10133307
-1.0_77.0,7/18/2021,200,-1,77,13.62930458,35.11873942
-1.0_77.0,7/18/2021,500,-1,77,9.950464681,34.98039269
-1.0_77.0,7/18/2021,1000,-1,77,6.725524843,34.91552572
-1.0_77.0,7/18/2021,2000,-1,77,,
-1.0_79.0,1/10/2021,10,-1,79,28.99699974,34.93700027
-1.0_79.0,1/10/2021,100,-1,79,28.43300056,35.32799911
-1.0_79.0,1/10/2021,200,-1,79,13.47000027,35.14199829
-1.0_79.0,1/10/2021,500,-1,79,9.805893771,35.00847373
-1.0_79.0,1/10/2021,1000,-1,79,6.65819392,34.97074956
-1.0_79.0,1/10/2021,2000,-1,79,,
-1.0_79.0,4/1/2021,10,-1,79,29.32767429,34.72879944
