TIME,grid_id,latitude,longitude,avg_temperature,avg_salinity,argo_float_ids
2021-01-28,15.0_87.0,15.0,87.0,27.297399520874023,33.47385025024414,[np.int64(2902710)]
2021-01-28,3.0_91.0,3.0,91.0,29.490234375,34.63285446166992,[np.int64(2903130)]
2021-01-28,5.0_87.0,5.0,87.0,28.73922348022461,34.79398727416992,[np.int64(2902853)]
2021-01-28,7.0_91.0,7.0,91.0,28.511058807373047,33.63024139404297,[np.int64(2901896)]
2021-01-28,9.0_87.0,9.0,87.0,28.411792755126953,34.15734100341797,"[np.int64(2902852), np.int64(2901892)]"
2021-02-01,-9.0_73.0,-9.0,73.0,28.673999786376953,34.06914520263672,[np.int64(5903862)]
2021-02-01,11.0_73.0,11.0,73.0,28.807462692260742,35.283851623535156,[np.int64(2902260)]
2021-02-01,13.0_63.0,13.0,63.0,26.525846481323242,36.356502532958984,[np.int64(2902262)]
2021-02-01,13.0_65.0,13.0,65.0,26.755537033081055,36.37179946899414,[np.int64(2902259)]
2021-02-01,13.0_91.0,13.0,91.0,27.95440101623535,33.22289276123047,[np.int64(2902766)]
2021-02-01,15.0_69.0,15.0,69.0,27.68058204650879,36.27829360961914,[np.int64(2902120)]
2021-02-01,3.0_69.0,3.0,69.0,28.42860984802246,35.19147872924805,[np.int64(1902196)]
2021-02-10,-1.0_75.0,-1.0,75.0,29.0133056640625,34.918800354003906,[np.int64(2901861)]
2021-02-10,-3.0_85.0,-3.0,85.0,28.720001220703125,34.46786117553711,[np.int64(2902287)]
2021-02-10,-5.0_81.0,-5.0,81.0,27.937698364257812,34.30485153198242,[np.int64(2902848)]
2021-02-10,11.0_71.0,11.0,71.0,29.035539627075195,34.075927734375,[np.int64(2902260)]
2021-02-10,13.0_65.0,13.0,65.0,27.11669158935547,36.38556671142578,[np.int64(2902259)]
2021-02-10,13.0_67.0,13.0,67.0,27.053089141845703,36.30046081542969,[np.int64(2902118)]
2021-02-10,13.0_69.0,13.0,69.0,28.24507713317871,36.06098556518555,[np.int64(2902261)]
2021-02-10,15.0_65.0,15.0,65.0,25.526294708251953,36.4082145690918,[np.int64(2902270)]
2021-02-10,15.0_87.0,15.0,87.0,27.584693908691406,33.96005630493164,[np.int64(2902283)]
2021-02-10,19.0_69.0,19.0,69.0,25.99176025390625,35.61705017089844,[np.int64(2902277)]
2021-02-18,-1.0_67.0,-1.0,67.0,28.651832580566406,35.12163543701172,[np.int64(2902396)]
2021-02-18,-1.0_81.0,-1.0,81.0,29.152000427246094,34.68262481689453,[np.int64(2902182)]
2021-02-18,-13.0_73.0,-13.0,73.0,28.93635368347168,34.304100036621094,[np.int64(1901841)]
2021-02-18,-3.0_61.0,-3.0,61.0,27.946516036987305,35.092376708984375,[np.int64(1901842)]
2021-02-18,-7.0_79.0,-7.0,79.0,28.35740089416504,34.1268424987793,[np.int64(2902290)]
2021-02-18,-7.0_83.0,-7.0,83.0,26.871000289916992,34.294376373291016,[np.int64(5904722)]
2021-02-18,11.0_63.0,11.0,63.0,26.787933349609375,36.026798248291016,[np.int64(2902388)]
2021-02-18,11.0_67.0,11.0,67.0,27.63808822631836,35.897151947021484,[np.int64(5905083)]
2021-02-18,19.0_91.0,19.0,91.0,25.49772834777832,31.698902130126953,[np.int64(2902278)]
2021-02-18,5.0_87.0,5.0,87.0,29.030221939086914,34.90089416503906,[np.int64(2902853)]
2021-02-18,7.0_91.0,7.0,91.0,28.43227767944336,33.69377899169922,[np.int64(2902294)]
2021-02-18,9.0_69.0,9.0,69.0,28.855138778686523,34.471275329589844,[np.int64(2902393)]
2021-02-18,9.0_87.0,9.0,87.0,28.06944465637207,33.70126724243164,[np.int64(2902264)]
2021-02-28,-13.0_75.0,-13.0,75.0,28.91153335571289,34.36875915527344,[np.int64(1901841)]
2021-02-28,-3.0_61.0,-3.0,61.0,28.699199676513672,35.319129943847656,[np.int64(1901842)]
2021-02-28,-3.0_83.0,-3.0,83.0,29.23787498474121,34.64779281616211,[np.int64(2901862)]
2021-02-28,-7.0_79.0,-7.0,79.0,28.423498153686523,33.95238494873047,[np.int64(2902290)]
2021-02-28,-7.0_83.0,-7.0,83.0,28.252290725708008,34.17729187011719,[np.int64(5904722)]
2021-02-28,1.0_83.0,1.0,83.0,29.686708450317383,34.53487777709961,[np.int64(2902182)]
2021-02-28,11.0_63.0,11.0,63.0,27.213298797607422,35.65513229370117,[np.int64(2902388)]
2021-02-28,11.0_87.0,11.0,87.0,28.20584487915039,33.74420166015625,[np.int64(2902264)]
2021-02-28,19.0_93.0,19.0,93.0,25.994544982910156,31.980884552001953,[np.int64(2902278)]
2021-02-28,5.0_87.0,5.0,87.0,29.29377555847168,34.84332275390625,[np.int64(2902853)]
2021-02-28,9.0_69.0,9.0,69.0,28.652896881103516,35.01137924194336,[np.int64(2902393)]
2021-03-01,-1.0_81.0,-1.0,81.0,29.66288948059082,34.76300048828125,[np.int64(2902850)]
2021-03-01,-1.0_87.0,-1.0,87.0,29.079458236694336,34.30295944213867,[np.int64(2902215)]
2021-03-01,-11.0_69.0,-11.0,69.0,27.995038986206055,34.083683013916016,[np.int64(5904836)]
2021-03-01,-11.0_79.0,-11.0,79.0,28.37278175354004,34.17334747314453,[np.int64(2903391)]
2021-03-01,-11.0_83.0,-11.0,83.0,28.519390106201172,33.967979431152344,[np.int64(5905009)]
2021-03-01,-13.0_63.0,-13.0,63.0,24.234394073486328,34.92321014404297,[np.int64(6902951)]
2021-03-01,-13.0_81.0,-13.0,81.0,28.297080993652344,34.12855911254883,[np.int64(1902332)]
2021-03-01,-5.0_91.0,-5.0,91.0,28.735307693481445,34.14222717285156,[np.int64(2902288)]
2021-03-01,-7.0_79.0,-7.0,79.0,28.653383255004883,34.05284881591797,[np.int64(2902289)]
2021-03-01,1.0_71.0,1.0,71.0,28.966598510742188,34.986778259277344,[np.int64(2901849)]
2021-03-01,15.0_71.0,15.0,71.0,28.857376098632812,35.52933120727539,[np.int64(2902174)]
2021-03-01,15.0_93.0,15.0,93.0,27.801998138427734,32.613319396972656,[np.int64(2902280)]
2021-03-01,17.0_61.0,17.0,61.0,25.539112091064453,36.304935455322266,[np.int64(2902267)]
2021-03-01,17.0_93.0,17.0,93.0,26.448728561401367,31.50586700439453,[np.int64(2902282)]
2021-03-01,7.0_85.0,7.0,85.0,29.18993377685547,34.75991439819336,[np.int64(2902771)]
2021-03-01,9.0_89.0,9.0,89.0,28.8346004486084,33.65419006347656,[np.int64(2902680)]
2021-03-10,-1.0_85.0,-1.0,85.0,29.191457748413086,34.43050003051758,[np.int64(2902182)]
2021-03-10,-11.0_79.0,-11.0,79.0,28.322206497192383,34.2047004699707,[np.int64(2903391)]
2021-03-10,-13.0_75.0,-13.0,75.0,28.43319320678711,34.229278564453125,[np.int64(1901841)]
2021-03-10,-13.0_81.0,-13.0,81.0,28.32636070251465,34.093360900878906,[np.int64(1902332)]
2021-03-10,-3.0_61.0,-3.0,61.0,29.16396713256836,35.149105072021484,[np.int64(1901842)]
2021-03-10,-3.0_83.0,-3.0,83.0,29.14112663269043,34.580665588378906,[np.int64(2901862)]
2021-03-10,-7.0_79.0,-7.0,79.0,29.145998001098633,34.03591537475586,[np.int64(2902290)]
2021-03-10,-7.0_83.0,-7.0,83.0,28.842374801635742,34.25674819946289,[np.int64(5904722)]
2021-03-10,1.0_85.0,1.0,85.0,29.277889251708984,34.3316650390625,[np.int64(2902851)]
2021-03-10,11.0_87.0,11.0,87.0,28.67117691040039,33.573421478271484,[np.int64(2902264)]
2021-03-10,19.0_91.0,19.0,91.0,26.852001190185547,32.00600814819336,[np.int64(2902278)]
2021-03-10,21.0_65.0,21.0,65.0,26.27741241455078,36.20620346069336,[np.int64(2902275)]
2021-03-10,5.0_87.0,5.0,87.0,29.40677833557129,34.70728302001953,[np.int64(2902853)]
2021-03-10,9.0_69.0,9.0,69.0,29.048198699951172,35.08403396606445,[np.int64(2902393)]
2021-03-18,-11.0_71.0,-11.0,71.0,28.64630889892578,34.226924896240234,[np.int64(2902292)]
2021-03-18,-11.0_91.0,-11.0,91.0,26.53299903869629,34.506187438964844,[np.int64(5905064)]
2021-03-18,-13.0_81.0,-13.0,81.0,29.01995849609375,33.963626861572266,[np.int64(1902332)]
2021-03-18,-13.0_83.0,-13.0,83.0,29.126230239868164,33.981956481933594,[np.int64(2902293)]
2021-03-18,-3.0_81.0,-3.0,81.0,29.39183235168457,34.593994140625,[np.int64(1901346)]
2021-03-18,1.0_75.0,1.0,75.0,29.474332809448242,34.553466796875,[np.int64(2902238)]
2021-03-18,1.0_89.0,1.0,89.0,30.092153549194336,34.32806396484375,[np.int64(2902778)]
2021-03-18,11.0_83.0,11.0,83.0,28.085365295410156,32.89113235473633,[np.int64(2902394)]
2021-03-18,15.0_69.0,15.0,69.0,29.068899154663086,35.65380096435547,[np.int64(2901337)]
2021-03-18,19.0_65.0,19.0,65.0,26.209518432617188,36.27643966674805,[np.int64(2902210)]
2021-03-18,9.0_59.0,9.0,59.0,27.61836814880371,35.750431060791016,[np.int64(2902392)]
2021-03-28,-11.0_71.0,-11.0,71.0,28.6286678314209,34.19758224487305,[np.int64(2902292)]
2021-03-28,-11.0_91.0,-11.0,91.0,23.107778549194336,34.62901306152344,[np.int64(5905064)]
2021-03-28,-13.0_81.0,-13.0,81.0,28.749921798706055,34.4106330871582,[np.int64(2902293)]
2021-03-28,-3.0_81.0,-3.0,81.0,29.010793685913086,34.41415786743164,[np.int64(1901346)]
2021-03-28,1.0_75.0,1.0,75.0,29.591888427734375,34.52366638183594,[np.int64(2902238)]
2021-03-28,1.0_91.0,1.0,91.0,29.93015480041504,34.34481430053711,[np.int64(2902778)]
2021-03-28,11.0_81.0,11.0,81.0,29.10016632080078,33.81053161621094,[np.int64(2902394)]
2021-03-28,15.0_69.0,15.0,69.0,29.38599967956543,35.74774932861328,[np.int64(2901337)]
2021-03-28,17.0_89.0,17.0,89.0,28.22944450378418,32.29088592529297,[np.int64(2902758)]
2021-03-28,19.0_65.0,19.0,65.0,27.021560668945312,36.53432083129883,[np.int64(2902210)]
2021-03-28,21.0_65.0,21.0,65.0,28.096132278442383,35.858577728271484,[np.int64(2902275)]
2021-03-28,9.0_59.0,9.0,59.0,28.114965438842773,35.72391128540039,[np.int64(2902392)]
2021-04-01,-1.0_59.0,-1.0,59.0,29.740442276000977,35.00253677368164,[np.int64(6902950)]
2021-04-01,-1.0_79.0,-1.0,79.0,29.330541610717773,34.728797912597656,[np.int64(2901861)]
2021-04-01,-3.0_87.0,-3.0,87.0,28.885501861572266,34.465126037597656,[np.int64(2902287)]
2021-04-01,-5.0_79.0,-5.0,79.0,28.742300033569336,34.64513397216797,[np.int64(2902848)]
2021-04-01,11.0_69.0,11.0,69.0,29.46266746520996,35.4810676574707,[np.int64(2902261)]
2021-04-01,13.0_65.0,13.0,65.0,28.45866584777832,35.868812561035156,[np.int64(2902118)]
2021-04-01,15.0_87.0,15.0,87.0,28.865846633911133,32.02537536621094,[np.int64(2902283)]
2021-04-01,17.0_65.0,17.0,65.0,28.033645629882812,36.40507888793945,[np.int64(2902270)]
2021-04-01,17.0_89.0,17.0,89.0,28.305334091186523,32.359554290771484,[np.int64(2902758)]
2021-04-01,19.0_67.0,19.0,67.0,28.211753845214844,35.9773063659668,[np.int64(2902277)]
2021-04-10,-1.0_79.0,-1.0,79.0,29.415876388549805,34.806907653808594,[np.int64(2901861)]
2021-04-10,-11.0_65.0,-11.0,65.0,27.357542037963867,34.375911712646484,[np.int64(5904836)]
2021-04-10,-13.0_63.0,-13.0,63.0,26.63945770263672,34.60384750366211,[np.int64(6902951)]
2021-04-10,-3.0_83.0,-3.0,83.0,29.260223388671875,34.50788879394531,[np.int64(2902850)]
2021-04-10,-5.0_93.0,-5.0,93.0,29.040306091308594,34.32096862792969,[np.int64(2902288)]
2021-04-10,-7.0_77.0,-7.0,77.0,28.21161651611328,34.23161315917969,[np.int64(2902289)]
2021-04-10,11.0_89.0,11.0,89.0,29.212223052978516,33.634437561035156,[np.int64(2902680)]
2021-04-10,15.0_93.0,15.0,93.0,29.144453048706055,32.30843734741211,[np.int64(2902280)]
2021-04-10,17.0_59.0,17.0,59.0,28.128000259399414,36.439056396484375,[np.int64(2902267)]
2021-04-10,17.0_93.0,17.0,93.0,28.624181747436523,32.91226577758789,[np.int64(2902282)]
2021-04-10,5.0_83.0,5.0,83.0,29.886066436767578,33.720516204833984,[np.int64(2902771)]
2021-04-18,-1.0_65.0,-1.0,65.0,29.803916931152344,35.1375846862793,[np.int64(1901804)]
2021-04-18,-1.0_67.0,-1.0,67.0,29.89655113220215,34.998687744140625,[np.int64(2902396)]
2021-04-18,-13.0_87.0,-13.0,87.0,27.681806564331055,34.400718688964844,[np.int64(1902053)]
2021-04-18,-15.0_95.0,-15.0,95.0,27.144466400146484,34.680213928222656,[np.int64(1902052)]
2021-04-18,-5.0_85.0,-5.0,85.0,28.74137306213379,34.572269439697266,[np.int64(2901862)]
2021-04-18,-5.0_87.0,-5.0,87.0,29.150577545166016,34.39986801147461,[np.int64(2902241)]
2021-04-18,-5.0_89.0,-5.0,89.0,28.84984588623047,34.699867248535156,[np.int64(2902242)]
2021-04-18,-9.0_63.0,-9.0,63.0,28.01933479309082,34.53226852416992,[np.int64(5902494)]
2021-04-18,1.0_71.0,1.0,71.0,29.715539932250977,34.964176177978516,[np.int64(1902193)]
2021-04-18,1.0_85.0,1.0,85.0,29.81391143798828,34.53355407714844,[np.int64(2902240)]
2021-04-18,1.0_87.0,1.0,87.0,29.880582809448242,34.656917572021484,[np.int64(2902182)]
2021-04-18,1.0_93.0,1.0,93.0,29.66522216796875,34.417110443115234,[np.int64(2902854)]
2021-04-18,11.0_85.0,11.0,85.0,30.185733795166016,33.470821380615234,[np.int64(2902765)]
2021-04-18,15.0_87.0,15.0,87.0,28.877910614013672,32.60325622558594,[np.int64(2902710)]
2021-04-18,17.0_63.0,17.0,63.0,27.93482208251953,36.471534729003906,[np.int64(2902263)]
2021-04-18,17.0_89.0,17.0,89.0,28.572500228881836,32.082698822021484,[np.int64(2902758)]
2021-04-18,7.0_83.0,7.0,83.0,29.608861923217773,33.90279006958008,[np.int64(2901896)]
2021-04-18,9.0_87.0,9.0,87.0,29.998001098632812,33.183509826660156,"[np.int64(2901892), np.int64(2902852)]"
2021-04-28,-1.0_65.0,-1.0,65.0,29.64265251159668,35.06108474731445,[np.int64(1901804)]
2021-04-28,-1.0_69.0,-1.0,69.0,30.119304656982422,34.97098922729492,[np.int64(1902193)]
2021-04-28,-1.0_87.0,-1.0,87.0,30.15646743774414,34.65850830078125,[np.int64(2902240)]
2021-04-28,-13.0_87.0,-13.0,87.0,27.278194427490234,34.34668731689453,[np.int64(1902053)]
2021-04-28,-15.0_95.0,-15.0,95.0,27.38360023498535,34.587223052978516,[np.int64(1902052)]
2021-04-28,-5.0_85.0,-5.0,85.0,29.47454071044922,34.46254348754883,[np.int64(2901862)]
2021-04-28,-5.0_89.0,-5.0,89.0,29.392566680908203,34.466922760009766,"[np.int64(2902241), np.int64(2902242)]"
2021-04-28,-9.0_65.0,-9.0,65.0,27.295740127563477,34.47739791870117,[np.int64(5902494)]
2021-04-28,-9.0_75.0,-9.0,75.0,28.20328712463379,34.217430114746094,[np.int64(5903862)]
2021-04-28,1.0_87.0,1.0,87.0,30.119958877563477,34.58175277709961,[np.int64(2902182)]
2021-04-28,1.0_93.0,1.0,93.0,29.616445541381836,34.39099884033203,[np.int64(2902854)]
2021-04-28,11.0_85.0,11.0,85.0,30.8035831451416,33.61121368408203,[np.int64(2902765)]
2021-04-28,15.0_87.0,15.0,87.0,29.57110023498535,32.79108810424805,[np.int64(2902710)]
2021-04-28,17.0_63.0,17.0,63.0,27.823511123657227,36.39922332763672,[np.int64(2902263)]
2021-04-28,17.0_89.0,17.0,89.0,29.997554779052734,32.47133255004883,[np.int64(2902758)]
2021-04-28,7.0_83.0,7.0,83.0,29.916215896606445,33.893768310546875,[np.int64(2901896)]
2021-04-28,9.0_87.0,9.0,87.0,29.870393753051758,33.543670654296875,"[np.int64(2901892), np.int64(2902852)]"
2021-05-01,-1.0_59.0,-1.0,59.0,29.357749938964844,35.18981170654297,[np.int64(6902950)]
2021-05-01,-3.0_87.0,-3.0,87.0,29.683401107788086,34.4612922668457,[np.int64(2902287)]
2021-05-01,-5.0_79.0,-5.0,79.0,29.444299697875977,35.00754928588867,[np.int64(2902848)]
2021-05-01,13.0_69.0,13.0,69.0,30.27469253540039,35.66098403930664,[np.int64(2902261)]
2021-05-01,13.0_71.0,13.0,71.0,30.640907287597656,35.07611083984375,[np.int64(2902260)]
2021-05-01,15.0_89.0,15.0,89.0,28.430999755859375,33.05419921875,[np.int64(2902283)]
2021-05-01,19.0_69.0,19.0,69.0,28.533533096313477,36.2840461730957,[np.int64(2902277)]
2021-05-10,-1.0_79.0,-1.0,79.0,30.420333862304688,34.961639404296875,[np.int64(2901861)]
2021-05-10,-1.0_83.0,-1.0,83.0,30.2239990234375,34.65688705444336,[np.int64(2902850)]
2021-05-10,-11.0_65.0,-11.0,65.0,28.17799949645996,34.42182540893555,[np.int64(5904836)]
2021-05-10,-13.0_61.0,-13.0,61.0,27.4298095703125,34.53480911254883,[np.int64(6902951)]
2021-05-10,-5.0_93.0,-5.0,93.0,29.771230697631836,34.462703704833984,[np.int64(2902288)]
2021-05-10,-7.0_79.0,-7.0,79.0,29.297922134399414,34.756309509277344,[np.int64(2902289)]
2021-05-10,17.0_59.0,17.0,59.0,29.837900161743164,36.539520263671875,[np.int64(2902267)]
2021-05-10,17.0_93.0,17.0,93.0,29.790334701538086,32.56818771362305,[np.int64(2902280)]
2021-05-10,23.0_61.0,23.0,61.0,25.613271713256836,36.64373016357422,[np.int64(6903007)]
2021-05-10,5.0_85.0,5.0,85.0,30.465200424194336,33.88679504394531,[np.int64(2902771)]
2021-05-18,-1.0_65.0,-1.0,65.0,29.550827026367188,35.170738220214844,[np.int64(1901804)]
2021-05-18,-1.0_69.0,-1.0,69.0,29.9947509765625,34.97964096069336,[np.int64(1902193)]
2021-05-18,-5.0_85.0,-5.0,85.0,29.675209045410156,34.431846618652344,[np.int64(2901862)]
2021-05-18,-5.0_89.0,-5.0,89.0,29.508056640625,34.52730941772461,"[np.int64(2902241), np.int64(2902242)]"
2021-05-18,-9.0_65.0,-9.0,65.0,25.825031280517578,34.872737884521484,[np.int64(5902494)]
2021-05-18,1.0_89.0,1.0,89.0,29.9067325592041,34.33311080932617,[np.int64(2902240)]
2021-05-18,1.0_93.0,1.0,93.0,29.787113189697266,34.180442810058594,[np.int64(2902854)]
2021-05-18,11.0_83.0,11.0,83.0,30.79669189453125,33.28934097290039,[np.int64(2902765)]
2021-05-18,15.0_87.0,15.0,87.0,30.162099838256836,32.82279586791992,[np.int64(2902710)]
2021-05-18,17.0_63.0,17.0,63.0,29.31551170349121,36.400489807128906,[np.int64(2902263)]
2021-05-18,17.0_89.0,17.0,89.0,30.201555252075195,32.35511016845703,[np.int64(2902758)]
2021-05-18,21.0_61.0,21.0,61.0,27.27884864807129,36.712650299072266,[np.int64(6903007)]
2021-05-18,9.0_83.0,9.0,83.0,30.214292526245117,33.55574417114258,[np.int64(2901896)]
2021-05-28,-1.0_65.0,-1.0,65.0,29.423749923706055,35.35420608520508,[np.int64(1901804)]
2021-05-28,-1.0_89.0,-1.0,89.0,29.94677734375,34.523685455322266,[np.int64(2902240)]
2021-05-28,-5.0_85.0,-5.0,85.0,29.31158447265625,34.493778228759766,[np.int64(2901862)]
2021-05-28,-5.0_91.0,-5.0,91.0,29.60482406616211,34.40557861328125,[np.int64(2902241)]
2021-05-28,-7.0_91.0,-7.0,91.0,29.392532348632812,34.60975646972656,[np.int64(2902242)]
2021-05-28,-9.0_65.0,-9.0,65.0,25.32490348815918,34.97172546386719,[np.int64(5902494)]
2021-05-28,1.0_67.0,1.0,67.0,29.598651885986328,34.945106506347656,[np.int64(1902193)]
2021-05-28,1.0_93.0,1.0,93.0,30.00499725341797,33.968666076660156,[np.int64(2902854)]
2021-05-28,11.0_83.0,11.0,83.0,30.047927856445312,33.088768005371094,[np.int64(2902765)]
2021-05-28,15.0_87.0,15.0,87.0,29.71489906311035,32.704742431640625,[np.int64(2902710)]
2021-05-28,17.0_65.0,17.0,65.0,29.986799240112305,36.32048797607422,[np.int64(2902263)]
2021-05-28,17.0_89.0,17.0,89.0,28.85188865661621,32.78044128417969,[np.int64(2902758)]
2021-05-28,21.0_61.0,21.0,61.0,28.356956481933594,36.666255950927734,[np.int64(6903007)]
2021-05-28,9.0_83.0,9.0,83.0,29.6862735748291,33.5811767578125,[np.int64(2901896)]
2021-06-01,-11.0_59.0,-11.0,59.0,25.616304397583008,34.75149154663086,[np.int64(5904822)]
2021-06-01,11.0_61.0,11.0,61.0,29.279075622558594,35.81696319580078,[np.int64(2902262)]
2021-06-01,13.0_65.0,13.0,65.0,29.436922073364258,35.6696662902832,[np.int64(2902259)]
2021-06-01,15.0_65.0,15.0,65.0,30.113048553466797,36.189117431640625,[np.int64(2902270)]
2021-06-01,15.0_91.0,15.0,91.0,29.841215133666992,32.768672943115234,[np.int64(2902766)]
2021-06-01,19.0_65.0,19.0,65.0,30.08061981201172,36.5868034362793,[np.int64(2902275)]
2021-06-01,21.0_61.0,21.0,61.0,29.042423248291016,36.717933654785156,[np.int64(6903007)]
